PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
4987981,13297,no significant difference,"In subgroup analysis, 10 % of patients in placebo, 14.3 % in metformin and 37.5 % of patients in pioglitazone subgroup had no decline or rather increase in the levels of IL-6 and TNF-α, consistent with the relapse of psoriasis in these patients in next 6 months. Remitting relapsing nature of the disease might be accounted for no significant change in the IL-6 and TNF-α level.",44141,44519,True
5861369,12573,no significant difference,". Escitalopram had no significant effect on measures of insulin sensitivity, insulin secretion, fasting lipids, mental health or HRQoL.",5384,5519,True
1713262,11483,no significant difference,"The three treatment groups were therefore equivalent with regard to the clinical cure rate (100% in Cotrifazid and mefloquine groups and 99% in quinine + SP group, p = 0.32, Fisher's exact test).",34411,34624,True
5827033,12002,significantly increase,"Time to nasogastric tube removal in the TEA group was earlier than in the control group (4.22 ± 1.01 vs 4.97 ± 1.67 d, P = 0.049), as well as the time to liquid diet (5.0 ± 1.34 vs 5.83 ± 2.10 d, P = 0.039).",7618,7893,True
5827033,12002,significantly increase,"Time to starting liquid diet was shorter in the TEA than control group (5.00 ± 1.34 vs 5.83 ± 2.10 d, P = 0.039).",20458,20605,True
3375426,13069,significantly increase,"Among these actions, the difference (value 1.17) with respect to swallowing action at week 8 of the first period between an increase of 1.00 in the GB-0998 group and a decrease of −0.17 in the placebo group (the normal score is 3) was statistically significant (t test, p = 0.0222).Fig. 8",40882,41226,True
3544627,13192,significantly increase,"Post hoc testing revealed that in the slow condition, desire-to-eat was significantly higher at 5, 10, 15, and 20min (p < 0.001) and tended to be lower at 60min (p = 0.008) compared with the fast condition,",29761,29976,True
3611645,11924,significantly decreased,"Both groups were relieved but there was significant difference between study and placebo group. Study group shown more effective results than placebo in pain relief (P`0.05). Based on the observations, it can be concluded that, fennel is an effective herbal drug for menstrual pain.",4139,4438,True
5791397,13362,no significant difference,No significant difference was found in terms of transurethral access no. between Group 1 and 2 (P = 0.643).,12633,12741,True
3516972,13028,,It is not specified at what postoperative day do we compare pain? If it is longterm effect - then there is no significant difference. ,-1,-1,False
5883528,12954,no significant difference,". PWV AUC(0–240) did not differ following between the two exercise groups (2.3%, P > 0.05).",8678,-1,True
101395,11611,no significant difference,"No significant differences were observed in either the apparent oral clearance of codeine (CLo) (1805 ml min-1; 1498–2112 95% CI vs. 1700 ml min-1; 1470–1929 95% CI), metabolic clearance of codeine to C-6-G, norcodeine and morphine, of morphine to M-3-G, M-6-G and normorphine or renal clearance of codeine and its metabolites between the two treatments (Tables 3 and 4). The total amount excreted of codeine and its metabolites excreted was 81.3% of dose (76.3–86.3 95% CI) vs. 84.9% of dose (81.8–88.0 95% CI) and did not differ between the two treatment groups",30198,30861,True
1626393,11359,significantly decreased,"the remediation group had a lower rate of exacerbations compared with control asthmatics (as treated: 1 of 29 vs. 11 of 33, respectively, p = 0. 003; intent to treat: 28.1% and 10.0%, respectively, p = 0.11).",6445,6687,True
1550594,11625,no significant difference,Adherence to medications showed a similar trend but did not reach statistical significance.,32772,32863,True
4752899,13223,significantly increase,"Women in the praziquantel group experienced a significantly higher change in creatinine from pre to post-dosing compared to the placebo group (0.07 versus 0.01 mg/dL, respectively; P = 0.004), however, these were all mild (grade I) elevations.",31976,-1,True
3647147,12302,no significant difference,". No significant differences in vomiting, diarrhoea, or fever were seen between retinol plus albendazole, retinol alone, and albendazole alone.",24318,24462,True
4497726,12251,no significant difference,"The Verbal Memory (ΔX2 = 29.8) and Reasoning (ΔX2 = 34.1) domains also improved from baseline; however, all groups including controls improved equivalently, indicating a practice effect.",46148,46356,True
1940068,11493,no significant difference,"There were no effects of exposure on the OGG1 activity or mRNA levels of OGG1, NUDT1, or HO-1.",29973,30119,True
1524987,11372,significantly decreased,The mean level of the double product was significantly lower in the group C patients when compared to group B patients (p = 0.002).,4635,4766,True
3961245,12984,significantly increase,The FLEX group showed higher improvements in anxiety (p<0.05).,7284,7347,True
3961245,12984,significantly increase,"However, there was no difference between the groups, except for anxiety, in which the FLEX group showed better control (Table 3).",34688,34871,True
3580299,12412,significantly decreased,"The time to stone expulsion in groups 1 and 2 was 9.5±4.8 days and 14.7±9.8 days, respectively (p=0.005).",5022,5128,True
3580299,12412,significantly decreased,The use of alfuzosin in combination with ESWL seems to facilitate stone passage and to reduce the time of stone expulsion but does not affect the stone-free rate.,5212,5374,True
2699722,12610,no significant difference,nterventions did not reduce risky prescribing events or increase treatment intensification,5173,5263,True
5735483,12676,significantly increase,"Postoperative analgesia was not required in the first 24 h in a total of 10 (50%), 12 (60%) and 15 (75%) patients in groups C, B, and D, respectively.",4769,4919,True
5735483,12676,significantly increase,Addition of buprenorphine (60 μg) or dexmedetomidine (5 μg) to intrathecal bupivacaine for transurethral resection prolongs the time to the first analgesic request with comparable recovery profile.,5264,5461,True
4796457,12591,significantly decreased,"Based on findings in experimental and control group, before and after the treatment, a significant statistical difference was observed. (The experimental group: p = 0.001 and the control group: p = 0.003). In comparison, before the treatment, there was no difference between two groups (p = 0.7). But after the treatment a significant statistical difference (p = 0.001) was observed.",18879,19262,True
4796457,12591,significantly decreased,The frequencies of leakage urine and amount of leakage urine in experimental group were reduced after the intervention.,35425,35545,True
59901,11225,significantly increase,"Participants in the Intervention Group were also more likely to explicitly describe patients (p = 0.028), comparisons (p = 0.014), and outcomes (p = 0.008).",5164,5371,True
58836,11370,no significant difference,"There was no difference between the two groups in systolic (adjusted difference 0.97 mmHg, 95%CI -2.34 mmHg to 4.29 mmHg) or diastolic (adjusted difference 0.70 mmHg, 95%CI -1.05 mmHg to 2.45 mmHg) blood pressure.",4038,4252,True
5809626,12829,significantly decreased,"Vapocoolant spray at the time of cosmetic facial injections leads to a 59% decrease in perceived pain score with neurotoxin injections (range, 0%-100% change) and 64% decrease in perceived pain score with filler injections (range, 0%-100% change). These results were statistically significant with P < .05. Conclusion: Vapocoolant spray reduces pain associated with facial rejuvenation procedure",5192,5620,True
5809626,12829,significantly decreased,"Vapocoolant spray at the time of cosmetic facial injections leads to a 59% decrease in perceived pain score with neurotoxin injections (range, 0%-100% change) and 64% decrease in perceived pain score with filler injections (range, 0%-100% change). These results were statistically significant at P < .05",11329,11650,True
5976307,13098,significantly decreased,he incidence of cardiopulmonary adverse events was higher in the propofol group (72.6%) than in the etomidate group (54.8%) (P = .040).,6428,6580,True
1550405,11317,no significant difference,"Although r-FSH showed a higher effectiveness in terms of delivery rates in both subgroups, it was not significantly different (",24641,24768,True
1550405,11317,no significant difference,Delivery rate/started cycle (%)	10.3	9.9	10.7	ns,27446,27586,True
5805693,12500,no significant difference,"For the 75 g of carbohydrate meal, despite different meal insulin boluses (8.1 [7.3–9.1] vs. 9.2 [8.2–9.6] U; p = 0.03), the subsequent basal insulin infusion over 4-h was not different in adequate estimation compared to overestimation (4.2 [3.9–5.3] vs. 4.3 [3.1–5.4] U; p = 0.60",22974,23254,True
3261693,12168,significantly increase,Glaucoma was reported in 19.7% of implanted eyes and no non-implanted eyes (P = 0.0008) postoperatively.,4953,5074,True
3261693,12168,significantly increase,Glaucoma occurred more frequently in implanted eyes.,5405,5457,True
3661822,12229,no significant difference,"Although anemia was commonly observed over the course of this study, it was distributed equally across treatment groups",31541,31660,True
3661822,12229,no significant difference,"Metformin can impair vitamin B12 absorption and presumably increase the risk of megaloblastic anemia (10,11). Since all treatment groups in the TODAY study were taking metformin, we cannot assess the effects of metformin on vitamin B12 and anemia in this study.",31662,32024,True
3606616,11812,no significant difference,"There was no significant difference between the groups in the proportion of infants starting regular latching-on (75% experimental group, vs. 86% control group)",5219,5379,True
5777928,12973,significantly increase,"For lack-of-ghosting averaged across distances, EDOF was significantly better than AOP (p < 0.001) but not AOMF (p = 0.186).",6290,6451,True
4644316,12346,no significant difference,"Also, the degree of satisfaction in the experiment group was higher than that of the control group. However, the difference was insignificant (P = 0.368).",24660,24814,True
3488187,12208,significantly increase,"Patients with first-cycle rash had better overall survival (HR 0·76, 95% CI 0·63–0·92, p=0·0058), compared with placebo",8268,8387,True
3714284,12192,significantly increase,"herefore, in the sensitivity analysis excluding HPV positive results from retested specimens, the VE against oral HPV16/18 infections was 100·0% (zero infection in the vaccine arm, thirteen in the control arm, 95% CI = 74·0% to 100·0%). When excluding women who were HPV 16/18 positive in the cervix at the enrolment visit, VE was 91.7% (95%CI = 52.3% to 99.6%).",57718,58080,True
1173136,11495,significantly decreased,"Results indicated that although lipid profile, BUN, Cr, serum levels of cyclosporine and diastolic blood pressure did not change, Systolic blood pressure decreased from138.2 to 132.8 mmHg (p=0.001) and Malondialdehyde (MDA) decreased from 2.4 to1.7 nmol/ml (p=0.009) by swallowing route,",4386,4682,True
1173136,11495,significantly decreased,MDA decreased from 2.5 to 1.6 nmol/ml (p=0.001),4816,4866,True
1173136,11495,significantly decreased,by chewing route too.,5066,5092,True
3611103,11978,no significant difference,"The mean values of systolic blood pressure (SBP) between the first reading and those of the second reading were 128.5 ± 10.6 mm Hg in the sleeve group, 128.3 ± 10.8 mm Hg in the rolled sleeve group, and 128.3 ± 10.7 mm Hg in the bare arm group. These results indicate that there were no significant differences among the three groups (P = 0.32).",3981,4326,True
3611103,11978,no significant difference,"In addition, based on the age, sex, past or current history of hypertension or diabetes mellitus, the thickness of sleeve, weight, a drinking history, and a smoking history, there were no significant differences in SBP and DBP among the three groups",4681,4930,True
5706840,13086,,"the results are concentrated on three groups of expressers - low, mid and high. the question is not understandable",-1,-1,False
