PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
1968524,11403,no significant difference,chemotherapy using CI treatment was as effective as bolus therapy.,3043,3110,True
1766476,11303,significantly decreased,"A multidisciplinary, multifactorial geriatric care program with systematic assessment and treatment of fall risk factors as well as active prevention, detection, and treatment of other postoperative complications resulted in fewer patients who fell, a lower total number of falls, and fewer injuries.",33730,34031,True
5852975,11973,significantly increase,"CASE was still significantly different in the SM groups only (p = 0.04),",32423,32512,True
5852975,11973,significantly increase,All subjects had a significant improvement in medication adherence that was augmented if they also had social media support.,48732,48856,True
3733607,11687,significantly increase,On WATER DAY the number of falls was statistically higher to FG than CG (5.4 ± 1.14 FG and 3.33 ± 1.37 CG p = 0.02) demonstrating the effect of the fatigue protocol on the concentration status of the athletes.,25049,25258,True
3936115,12276,significantly decreased,"Administration of MSB in asymptomatic patients with diverticulosis can lead to significant decrease of clinical diverticulitis incidence (p = 0.425). In addition, it can decrease the need for imaging studies associated with diverticulitis (p = 0.0229).",28417,28704,True
2699720,11983,no significant difference,"Over 12 months, there were no significant differences in total cholesterol, triglycerides, or calculated LDL between dietary groups.",32309,32441,True
4518420,12321,significantly decreased,Patients in Ksharasutra group experienced significantly (P = 0.001) less pain than fistulotomy patients.,14506,14628,True
4518420,12321,significantly decreased,"Early postoperative pain was observed in both group; and it was found to be less in Ksharasutra group,",18877,18979,True
5498709,12999,significantly decreased,"The total administered dosage of ephedrine was significantly lower in the M group (median 4.1mg vs. 17.1mg, p=0.001).",16477,16594,True
37407,11550,no significant difference,"In conclusion, we have shown that gastric residual volumes in the prone and supine position do not differ significantly.",19155,19275,True
3493722,11904,no significant difference,"In conclusion, the one week PPI+BMT regimen was as effective as the 2-week PPI+BMT regimen.",27279,27372,True
3580400,13327,no significant difference,Curcumin C3 Complex® was associated with lowered hematocrit and increased glucose levels that were clinically insignificant.,10398,10535,True
3661741,12268,significantly increase,satiety was increased with both SED and INT conditions (INT>EX and SED>EX; P<0.05).,4699,4782,True
5827475,12478,no significant difference,The ventilation scores and the fibreoptic gradings were similar with both I-Gel™ and PLMA in all the three different neck positions.,17652,17784,True
1550259,11672,no significant difference,"Based on our findings, the effect of gonioscopy on the mean K derived from Auto-Keratometry is insignificant, but the same cannot be said when relying on topographically derived Sim K.",24273,24457,True
1550259,11672,no significant difference,Reversible steepening of the central corneal surface is produced by the act of gonioscopy as measured by Sim K,5342,5452,True
1084341,11355,no significant difference,a ketamine serum concentration of 30 ng/ml did not result in a change in electrical pain threshold when administered alone,25733,25857,True
5861369,12574,significantly increase,"cortisol levels (cortisol 0, cortisol 60, peak cortisol and AUC cortisol) increased significantly during escitalopram vs placebo.",21107,21237,True
1134663,11877,no significant difference,"we found a significant shortening of the latency differences between the onset of the APB and deltoid muscle contraction during the course of the motor training as revealed by ANOVA for repeated measurements (significant influence of the factor ""training duration"", F(3.14,43.95) = 17.729, p < 0.001; Fig. 1A). Memantine did not affect this training effect, as shown by the non-significant influence of the factor ""drug"" (F(1,14) = 1.876, p = 0.192), and by the non-significant interaction between both factors (F(3.14,43.95) = 1.646, p = 0.191).",10980,11566,True
5807625,12627,no significant difference,"Despite our hypothesis on the effectiveness of the TiF4 varnish, results obtained at the first month of this study demonstrate that the differences between TiF4 and NaF did not reach significance, due to the slight changes in the visual analysis and in the fluorescence loss.",44210,44507,True
2699720,11985,no significant difference,Systolic blood pressure and diastolic blood pressure were similar between dietary groups at baseline and did not change over the 12-month period,32076,32220,True
5729494,12797,significantly decreased,"apoB levels remained low in the liraglutide treated group (apoB change: 0.03 ± 0.02 mmol/L, p = 0.4) in contrast to an increase in the control group (apoB change: 0.06 ± 0.07 mmol/L, p = 0.02).",9341,9660,True
1420296,11592,no significant difference,"There was no difference in total scores between intervention and control group students (13.4, 14.4, p = 0.12).",13846,13958,True
