PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
1794452,11331,significantly decreased,The number of days of antibiotherapy was significantly lower in the supplemented group (p = 0.021).,16880,16997,True
1794452,11331,significantly decreased,The number of days of antibiotherapy was significantly lower in the supplemented group (p = 0.021).,16880,16997,True
1513247,11392,no significant difference,"The differences between conditions for diarrhoea, bloating and flatulence were not significant at the p < .05 level.",4680,4797,True
1084341,11356,significantly increase,it was added to a fentanyl serum concentration of 0.4 ng/ml the combination resulted in greater increase in pain threshold than that of fentanyl administered alone (P < 0.01; two-way ANOVA).,25908,26116,True
1084341,11356,significantly increase,it was added to a fentanyl serum concentration of 0.4 ng/ml the combination resulted in greater increase in pain threshold than that of fentanyl administered alone (P < 0.01; two-way ANOVA).,25909,26116,True
3626227,12514,significantly increase,"The corticosteroid injection group showed a statistically significant decrease in pain compared with autologous blood injection group in both visual analogue scale (VAS) and Nirschl stage at one week (both p < 0.001) and at four weeks (p = 0.002 and p = 0.018, respectively).",4140,4416,True
4745960,13207,no significant difference,The postoperative visual acuity and IOP were not significantly different.,4345,4419,True
4707005,13325,no significant difference,"There were no significant differences in the two groups with respect to intraocular pressure, best corrected visual acuity, anti-glaucoma medications or postoperative complications at six months or 12 months.",5990,6198,True
4372550,13148,significantly decreased,"The intubation time was significantly longer in the WEI group (110.8±18.3 s) than in the LW group (63.3±27.5 s, p = 0.000) and DL group (66.7±29.4 s, p = 0.000)",6647,6807,True
65683,11646,significantly increase,HDLC at 24 months in the exercise group was significantly higher (P < 0.05) than that in the control group.,19560,19688,True
3580299,12410,no significant difference,The patients who required analgesics after ESWL were 8 (19.5%) in group 1 and 13 (30.2%) in group 2 (p=0.31).,4797,4906,True
1794452,11331,,duplicate,-1,-1,False
102323,11298,significantly decreased,Pain index	-3.31 (0.68)	-4.90 (0.53)	-5.65 (0.59)	-6.28 (0.77)	<0.05††,30820,31013,True
1936359,11350,significantly increase,Sequential cytogenetic studies carried out on a subgroup of these patients showed that 8% of patients with clonal cytogenetics achieved cytogenetic remissions.,36561,36720,True
