,Unnamed: 0,comparison_name,estimate,intervention1,intervention2,lower,metric,outcome_name,pmid,result_str,review_name,upper,XML_file_names
49919,49919,"""Tiotropium versus placebo""",1.55579795268,"""tiotropium""","""placebo""",1.089163874,"""OR""","""Patients with ≥ 4 units improvement in quality of life (SGRQ)""",18686739,"sig diff, pos","""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",2.2223536121,PMC2629970.nxml
49928,49928,"""Tiotropium versus placebo""",0.39906103286399996,"""tiotropium""","""placebo""",0.252954736869,"""OR""","""Patients with ≥ 4 units worsening in quality of life (SGRQ)""",18686739,"sig diff, neg","""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",0.629558117477,PMC2629970.nxml
49947,49947,"""Tiotropium versus placebo""",0.743962703963,"""tiotropium""","""placebo""",0.529859184745,"""OR""","""Patients with ≥ 1 exacerbation""",18686739,no sig diff,"""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",1.04458037309,PMC2629970.nxml
49968,49968,"""Tiotropium versus placebo""",1.50980392157,"""tiotropium""","""placebo""",0.597855843983,"""OR""","""Patients with ≥ 1 exacerbation requiring hospitalisation""",18686739,no sig diff,"""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",3.81280521806,PMC2629970.nxml
49986,49986,"""Tiotropium versus placebo""",1.32222800625,"""tiotropium""","""placebo""",0.809171875936,"""OR""","""Patients with ≥ 1 hospitalisation (all-cause)""",18686739,no sig diff,"""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",2.16058782132,PMC2629970.nxml
50006,50006,"""Tiotropium versus placebo""",1.2335526315799998,"""tiotropium""","""placebo""",0.7675768979080001,"""OR""","""Patients with ≥ 1 serious adverse event (non-fatal)""",18686739,no sig diff,"""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",1.9824099696400002,PMC2629970.nxml
50027,50027,"""Tiotropium versus placebo""",0.496844862484,"""tiotropium""","""placebo""",0.32305788847600003,"""OR""","""Withdrawals""",18686739,"sig diff, neg","""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",0.764119454073,PMC2629970.nxml
50038,50038,"""Tiotropium versus placebo""",1.55579795268,"""tiotropium""","""placebo""",1.089163874,"""OR""","""Sensitivity analysis of SGRQ responders imputing 0% for missing participants""",18686739,"sig diff, pos","""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",2.2223536121,PMC2629970.nxml
50047,50047,"""Tiotropium versus placebo""",1.55579795268,"""tiotropium""","""placebo""",1.089163874,"""OR""","""Sensitivity analysis of SGRQ responders imputing 20% for missing participants""",18686739,"sig diff, pos","""CD009285 v. 6.0 Tiotropium versus placebo for chronic obstructive pulmonary disease.rm5""",2.2223536121,PMC2629970.nxml
19230,19230,"""Motivational enhancement vs brief interventions""",0.85,"""Intervention""","""Control""",0.055223767637199994,"""RR""","""Cessation at 6 months or longer""",17173716,no sig diff,"""CD003289 v. 9.0 Tobacco cessation interventions for young people.rm5""",13.0831348695,PMC1832131.nxml
