user_id,pmid_id,selection,annotation,outcome,comparator,intervention,invalid prompt,prompt reason
b'krystie',b'22419941',b'Cannot tell based on the abstract',b'',"b' ""Patients with complete healing at 3 months"" '","b' ""2-component bandage"" '","b' ""Compression stocking"" '",b'0',b''
b'krystie',b'22419941',b'Invalid Prompt',b'',"b'  ""Patients with complete healing at 3 months""  '","b'  ""2-component bandage""  '","b'  ""Compression stocking""  '",b'1',b' The text does not specify whether the patients healed entirely after 12 weeks. and it does not directly correlate compression stockings versus 2-component bandage.'
b'krystie',b'18472878',b'Cannot tell based on the abstract',b'',"b' ""Respiratory distress syndrome"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'0',b''
b'krystie',b'18472878',b'Invalid Prompt',b'',"b'  ""Respiratory distress syndrome""  '","b'  ""No macrolide""  '","b'  ""Any macrolide""  '",b'1',"b' There is no mention of respiratory distress syndrome in the abstract, and no access to the rest of the document was given.'"
b'krystie',b'22162919',b'Cannot tell based on the abstract',b'',"b' ""Maternal anaemia at or near term (Hb less than 110 g/L at 34 weeks\' gestation or more) (ALL)"" '","b' ""Control (daily)"" '","b' ""Intermittent iron"" '",b'0',b''
b'krystie',b'22162919',b'Cannot tell based on the abstract',b'',"b' ""Maternal anaemia at or near term (Hb less than 110 g/L at 34 weeks\' gestation or more) (ALL)"" '","b' ""Control (daily)"" '","b' ""Intermittent iron"" '",b'0',b''
b'krystie',b'22162919',b'No significant difference',b'No significant difference was observed with respect to pregnancy or birth outcome across the groups.',"b' ""Maternal anaemia at or near term (Hb less than 110 g/L at 34 weeks\' gestation or more) (ALL)"" '","b' ""Control (daily)"" '","b' ""Intermittent iron"" '",b'0',b''
b'krystie',b'19066176',b'Significantly increased',"b'The proportion of patients who achieved an ACR20 response at week 14 was 33.1% in the placebo plus methotrexate group, 44.4% (p\xe2\x80\x8a=\xe2\x80\x8a0.059) in the golimumab 100 mg plus placebo group, 55.1% (p\xe2\x80\x8a=\xe2\x80\x8a0.001) in the golimumab 50 mg plus methotrexate group and 56.2% (p<0.001) in the golimumab 100 mg plus methotrexate group. At week 24, median improvements from baseline in HAQ-DI scores were 0.13, 0.13 (p\xe2\x80\x8a=\xe2\x80\x8a0.240), 0.38 (p<0.001) and 0.50 (p<0.001), respectively.'","b' ""HAQ Change \xe2\x89\xa5.22 (14 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'krystie',b'21503263',b'Cannot tell based on the abstract',b'',"b' ""Patients with \xe2\x89\xa5 1 serious adverse event (non-fatal)"" '","b' ""placebo"" '","b' ""tiotropium"" '",b'0',b''
b'krystie',b'21503263',b'Invalid Prompt',b'',"b'  ""Patients with \xe2\x89\xa5 1 serious adverse event (non-fatal)""  '","b'  ""placebo""  '","b'  ""tiotropium""  '",b'1',b' There were no conclusions available as to determine whether serious non-fatal adverse effects were present using tiotropium versus placebo.'
b'krystie',b'18472878',b'No significant difference',"b'No significant differences in the interval to delivery, birth weight, and neonatal outcomes were observed between the 2 groups.'","b' ""Perinatal mortality"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'0',b''
b'krystie',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""All Withdrawals (14-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'krystie',b'19066176',b'Invalid Prompt',b'',"b'  ""All Withdrawals (14-24 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab""  '",b'1',"b'There is no clear distinction referring to ""all withdrawals"" at 14-24 weeks for patients receiving Golimumab and those receiving Placebo. '"
b'krystie',b'15450119',b'Cannot tell based on the abstract',b'',"b' ""Perinatal death"" '","b' ""Prostaglandin"" '","b' ""Misoprostol"" '",b'0',b''
b'krystie',b'15450119',b'No significant difference',"b'Neonatal Outcomes\n\nMisoprostol n = 80 (%)\tDinoprostone n = 83 (%)\tStatistical significance,Perinatal death\t0\t1(1.2%)\tNS'","b'  ""Perinatal death""  '","b'  ""Prostaglandin""  '","b'  ""Misoprostol""  '",b'0',b''
b'krystie',b'17176461',b'Cannot tell based on the abstract',b'',"b' ""Oxytocin augmentation"" '","b' ""Control"" '","b' ""Epidural analgesia"" '",b'0',b''
b'krystie',b'17176461',b'No significant difference',"b'Administration of epidural analgesia with 1% lidocaine do not prolong the active-first or second stages of labor significantly, and do not increase the incidence of oxytocin augmentation,Labor progress\tEpidural N = 197\tMeperidine N = 198\tP value,Oxytocin augmentation After initiation of Analgesia\t197(100)\t192(96)\tNS'","b'  ""Oxytocin augmentation""  '","b'  ""Control""  '","b'  ""Epidural analgesia""  '",b'0',b''
b'krystie',b'22066097',b'Invalid Prompt',b'',"b' ""Live birth rate per woman randomised"" '","b' ""GnRH agonist"" '","b' ""GnRH antagonist"" '",b'1',"b"" The study's purpose is to evaluate the comparative therapeutic efficacy of radiofrequency ablation (RFA) and hepatic resection for the treatment of colorectal liver metastasis (CRLM).\n\nNo comparison between GnRH antagonist or GnRH agonist was made."""
