,pmid_id,selection,annotation,outcome,comparator,intervention,invalid prompt,prompt reason
b'melina',b'22419941',b'No significant difference',"b'However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).'","b' ""Patients with complete healing at 3 months"" '","b' ""Four-layer bandage (4LB)"" '","b' ""Compression stocking"" '",b'0',b''
b'melina',b'18472878',b'Invalid Prompt',b'',"b' ""Respiratory distress syndrome"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'1',b''
b'melina',b'22162919',b'No significant difference',"b'Twice-weekly supplementation is as effective as daily supplementation, and may represent an acceptable compromise in iron supplementation regimens for nonanemic pregnant women.'","b' ""Maternal anaemia at or near term (Hb less than 110 g/L at 34 weeks\' gestation or more) (ALL)"" '","b' ""Control (daily)"" '","b' ""Intermittent iron"" '",b'0',b''
b'melina',b'19066176',b'Invalid Prompt',b'',"b' ""HAQ Change \xc3\xa2\xc2\x89\xc2\xa5.22 (14 wk)"" '","b' ""Placebo"" '","b' ""Golimumab' '",b'1',b''
b'melina',b'21503263',b'Invalid Prompt',b'',"b' ""Patients with \xc3\xa2\xc2\x89\xc2\xa5 1 serious adverse event (non-fatal)"" '","b' ""placebo"" '","b' ""tiotropium"" '",b'1',b''
b'melina',b'18472878',b'Invalid Prompt',b'',"b' ""Perinatal mortality"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'1',b''
b'melina',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""All Withdrawals (14-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab' '",b'0',b''
b'melina',b'19066176',b'Invalid Prompt',b'',"b'  ""All Withdrawals (14-24 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab'  '",b'1',b''
b'melina',b'15450119',b'Cannot tell based on the abstract',b'',"b' ""Perinatal death"" '","b' ""Prostaglandin"" '","b' ""Misoprostol"" '",b'0',b''
b'melina',b'15450119',b'No significant difference',b'Perinatal death\t0\t1(1.2%)\tNS',"b'  ""Perinatal death""  '","b'  ""Prostaglandin""  '","b'  ""Misoprostol""  '",b'0',b''
b'melina',b'17176461',b'Cannot tell based on the abstract',b'',"b' ""Oxytocin augmentation"" '","b' ""Control"" '","b' ""Epidural analgesia"" '",b'0',b''
b'melina',b'17176461',b'No significant difference',"b'Administration of epidural analgesia with 1% lidocaine do not prolong the active-first or second stages of labor significantly, and do not increase the incidence of oxytocin augmentation'","b'  ""Oxytocin augmentation""  '","b'  ""Control""  '","b'  ""Epidural analgesia""  '",b'0',b''
b'melina',b'22066097',b'Cannot tell based on the abstract',b'',"b' ""Live birth rate per woman randomised"" '","b' ""GnRH agonist"" '","b' ""GnRH antagonist"" '",b'0',b''
b'melina',b'22066097',b'Invalid Prompt',b'',"b'  ""Live birth rate per woman randomised""  '","b'  ""GnRH agonist""  '","b'  ""GnRH antagonist""  '",b'1',b''
b'melina',b'22080588',b'Significantly increased',b'Continuous abstinence was higher for varenicline than for placebo subjects at the end of treatment (Weeks 9\xe2\x80\x9312: 53.1% vs. 19.3%',"b' ""Continuous or sustained abstinence at longest follow-up (24+ weeks)"" '","b' ""Control"" '","b' ""Varenicline"" '",b'0',b''
b'melina',b'20200301',b'No significant difference',b'Hypoglycemia risk was similar.',"b' ""Percentage of participants having at least one severe hypoglycaemic event"" '","b' ""Glargine"" '","b' ""Detemir"" '",b'0',b''
b'melina',b'19284644',b'Cannot tell based on the abstract',b'',"b' ""Death or severe brain injury by first hospital discharge"" '","b' ""Liberal"" '","b' ""Restrictive"" '",b'0',b''
b'melina',b'19284644',b'Invalid Prompt',b'',"b'  ""Death or severe brain injury by first hospital discharge""  '","b'  ""Liberal""  '","b'  ""Restrictive""  '",b'1',b''
b'melina',b'20368925',b'Significantly decreased',b'The primary AVF failures at two months were 21.6% in placebo group and 5.2% in clopidogrel group (P = 0.03).',"b' ""Early access thrombosis (before 8 weeks)"" '","b' ""Placebo/no treatment"" '","b' ""Antiplatelet agent"" '",b'0',b''
b'melina',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""Serious Infections (16-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab' '",b'0',b''
b'melina',b'19066176',b'Significantly increased',"b'The numbers of serious adverse events and serious infections per patient-year were greater in group 4 than in groups 1, 2 or 3; however, the 95% CI were wide and overlapping.'","b'  ""Serious Infections (16-24 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab'  '",b'0',b''
b'melina',b'20831782',b'No significant difference',b'There were no local infections or IVD-related bloodstream infections in either group.',"b' ""Infiltration"" '","b' ""Routine replacement"" '","b' ""Clinically indicated"" '",b'0',b''
b'melina',b'21503263',b'Invalid Prompt',b'',"b' ""Patients with \xc3\xa2\xc2\x89\xc2\xa5 1 exacerbation"" '","b' ""placebo"" '","b' ""tiotropium"" '",b'1',b''
b'melina',b'20427683',b'Cannot tell based on the abstract',b'',"b' ""Healed at end of treatment (6 weeks)"" '","b' ""Control"" '","b' ""HBOT"" '",b'0',b''
