user_id,pmid_id,selection,annotation,outcome,comparator,intervention,invalid prompt,prompt reason
b'sergii',b'22419941',b'No significant difference',"b'the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).'","b' ""Patients with complete healing at 3 months"" '","b' ""2-component bandage"" '","b' ""Compression stocking"" '",b'0',b''
b'sergii',b'18472878',b'Invalid Prompt',b'',"b' ""Respiratory distress syndrome"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'1',"b""'to assess whether antibiotic therapy plus tocolysis given to women in preterm labor would prolong pregnancy compared with tocolysis alone. '\n\nNo mention of respiratory distress syndrome."""
b'sergii',b'22162919',b'No significant difference',"b'All regimens prevented the occurrence of hemoglobin <10.5 g/dL, but weekly supplementation was associated with development of a hemoglobin level <11.0 g/dL (risk ratio 0.044).'","b' ""Maternal anaemia at or near term (Hb less than 110 g/L at 34 weeks\' gestation or more) (ALL)"" '","b' ""Control (daily)"" '","b' ""Intermittent iron"" '",b'0',b''
b'sergii',b'19066176',b'Significantly increased',"b'in the placebo plus methotrexate groupHAQ-DI scores were 0.13,in the golimumab 50 mg plus methotrexate groupin the golimumab 100 mg plus methotrexate groupHAQ-DI scores were 0.38 (p<0.001)and 0.50 (p<0.001), respectively.'","b' ""HAQ Change \xe2\x89\xa5.22 (14 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'sergii',b'21503263',b'Cannot tell based on the abstract',b'',"b' ""Patients with \xe2\x89\xa5 1 serious adverse event (non-fatal)"" '","b' ""placebo"" '","b' ""tiotropium"" '",b'0',b''
b'sergii',b'21503263',b'Invalid Prompt',b'',"b'  ""Patients with \xe2\x89\xa5 1 serious adverse event (non-fatal)""  '","b'  ""placebo""  '","b'  ""tiotropium""  '",b'1',b' No mention of adverse events (non-fatal).'
b'sergii',b'18472878',b'Cannot tell based on the abstract',b'',"b' ""Perinatal mortality"" '","b' ""No macrolide"" '","b' ""Any macrolide"" '",b'0',b''
b'sergii',b'18472878',b'No significant difference',"b'No significant differences in the interval to delivery, birth weight, and neonatal outcomes were observed between the 2 groups.'","b'  ""Perinatal mortality""  '","b'  ""No macrolide""  '","b'  ""Any macrolide""  '",b'0',b''
b'sergii',b'19066176',b'Cannot tell based on the abstract',b'',"b' ""All Withdrawals (14-24 wk)"" '","b' ""Placebo"" '","b' ""Golimumab"" '",b'0',b''
b'sergii',b'19066176',b'Invalid Prompt',b'',"b'  ""All Withdrawals (14-24 wk)""  '","b'  ""Placebo""  '","b'  ""Golimumab""  '",b'1',b' No mention about withdrawals.'
b'sergii',b'15450119',b'Significantly increased',b'One woman had an unexplained stillbirth following the administration of one dose of dinoprostone.',"b' ""Perinatal death"" '","b' ""Prostaglandin"" '","b' ""Misoprostol"" '",b'0',b''
b'sergii',b'17176461',b'Cannot tell based on the abstract',b'',"b' ""Oxytocin augmentation"" '","b' ""Control"" '","b' ""Epidural analgesia"" '",b'0',b''
b'sergii',b'17176461',b'No significant difference',"b'Administration of epidural analgesia with 1% lidocaine do not prolong the active-first or second stages of labor significantly, and do not increase the incidence of oxytocin augmentation(Table 2).'","b'  ""Oxytocin augmentation""  '","b'  ""Control""  '","b'  ""Epidural analgesia""  '",b'0',b''
b'sergii',b'22066097',b'Invalid Prompt',b'',"b' ""Live birth rate per woman randomised"" '","b' ""GnRH agonist"" '","b' ""GnRH antagonist"" '",b'1',"b"" This study about ' To evaluate the comparative therapeutic efficacy of radiofrequency ablation (RFA) and hepatic resection for the treatment of colorectal liver metastasis (CRLM).' not about live birth rate per woman and GnRH agonists."""
b'sergii',b'22080588',b'Invalid Prompt',b'',"b' ""Continuous or sustained abstinence at longest follow-up (24+ weeks)"" '","b' ""Control"" '","b' ""Varenicline"" '",b'1',b' Subjects were followed up through Week 24. \n\nImpossible to tell about:\nContinuous or sustained abstinence at longest follow-up (24+ weeks)'
b'sergii',b'20200301',b'Cannot tell based on the abstract',b'',"b' ""Percentage of participants having at least one severe hypoglycaemic event"" '","b' ""Glargine"" '","b' ""Detemir"" '",b'0',b''
b'sergii',b'20200301',b'Cannot tell based on the abstract',b'',"b' ""Percentage of participants having at least one severe hypoglycaemic event"" '","b' ""Glargine"" '","b' ""Detemir"" '",b'0',b''
b'sergii',b'20200301',b'No significant difference',"b'Risk of hypoglycemia was comparable between treatments with \xe2\x88\xbc30% of patients experiencing symptomatic hypoglycemia with PG \xe2\x89\xa43.1 mmol/l in either group (online Table B).,Hypoglycemia risk was similar.'","b'  ""Percentage of participants having at least one severe hypoglycaemic event""  '","b'  ""Glargine""  '","b'  ""Detemir""  '",b'0',b''
b'sergii',b'19284644',b'Cannot tell based on the abstract',b'',"b' ""Death or severe brain injury by first hospital discharge"" '","b' ""Liberal"" '","b' ""Restrictive"" '",b'0',b''
b'sergii',b'19284644',b'Invalid Prompt',b'',"b'  ""Death or severe brain injury by first hospital discharge""  '","b'  ""Liberal""  '","b'  ""Restrictive""  '",b'1',"b"" No information about 'Death or severe brain injury by first hospital discharge'."""
