RowID,Outcome,Comparator,Intervention,Answer,Reasoning,xml_offsets,XML,PMID,Location
 59610 ,Recurrent venous thromboembolism,LMWH,Unfractionated heparin,No significant difference,Recurrent venous thromboembolism	96/2212 (4.3%)	115/2235 (5.1%)	0.85 (0.65-1.12)	0.20,20409:20586, 59610 ,11714421,Unavailable
 59610 ,Major haemorrhage,LMWH,Unfractionated heparin,No significant difference,Major haemorrhage 33/2212 (1.5%) 57/2235 (2.5%) 0.63 (0.37-1.05) 0.08,20617:20778, 59610 ,11714421,Unavailable
 59610 ,Total mortality,LMWH,Unfractionated heparin,Significantly decreased,Total mortality	98/2006 (4.9%)	132/2027 (6.5%)	0.76 (0.59-0.98)	0.03,20809:20969, 59610 ,11714421,Unavailable
 59610 ,recurrent episodes of venous thromboembolism,tinzaparin,unfractionated heparin,Significantly decreased,"here were no recurrent episodes of venous thromboembolism in the group of patients treated with tinzaparin, and seven new episodes (four pulmonary embolisms) in the unfractionated heparin group (95% confidence interval for the difference 1.9% to 11.7%; P = 0.01). Death occurred in 6.2% and 8.7% of patients, respectively;",19122:19462, 59610 ,11714421,Unavailable
 30713 ,the ratio of partial pressure of arterial oxygen to fractional inspired oxygen concentration (PaO2/FIO2),continuous lateral rotation (CLR),routine turning every 2 h from the left to right lateral position,No significant difference,"There was a tendency for PaO2/FIO2 to increase (174 ± 31 versus 188 ± 36; P = 0.068) and Vd/Vt to decrease (0.62 ± 0.18 versus 0.59 ± 0.18; P = 0.19) during periods of CLR, but these differences did not achieve statistical significance.",17455:17595, 30713 ,11299066,Unavailable
 30713 , the ratio of deadspace to tidal volume (Vd/Vt) ,continuous lateral rotation (CLR),routine turning every 2 h from the left to right lateral position,No significant difference,"Vd/Vt to decrease (0.62 ± 0.18 versus 0.59 ± 0.18; P = 0.19) during periods of CLR, but these differences did not achieve statistical significance.",17455:17595, 30713 ,11299066,Unavailable
 30713 ,sputum volume,continuous lateral rotation (CLR),routine turning every 2 h from the left to right lateral position,Significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,17455:17595, 30713 ,11299066,Unavailable
 32174 ,happiness with the recovery,patient-held record (PHR),control,Significantly increased,"PHR group patients were happier with the recovery they had made (79% vs. 59%, p=0.04)",17528:17614, 32174 ,11257719,Unavailable
 32174 ,satisfaction with ability to talk to staff about problems,patient-held record (PHR),control,Significantly decreased,"they were significantly less satisfied that they could talk to staff about problems (61% vs. 82%, p=0.02).",24519:24623, 32174 ,11257719,Unavailable
 32174 ,number of patients who has fear to ask questions to doctors,patient-held record (PHR),control,Significantly increased,"However, PHR group patients were significantly more afraid to ask questions of doctors than control group patients (21% vs. 4%, p=0.01).",24519:24623, 32174 ,11257719,Unavailable
